_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
herroepen.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.20047709965069463	0.3226426029789882	NA	NA	TRUE	BOW	472	weight	all	10-10	FOC	nav	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound10-10lex.PPMIno.LENGTH5000.SOCPOSall	-0.6215937351816441	1.0877130487858029	NA	NA	TRUE	BOW	676	no	lex	10-10	5000	all	235	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.5100678427919438	1.0549502215557398	NA	NA	TRUE	BOW	676	no	lex	10-10	5000	nav	235	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.4443746101544991	0.7706029098360724	NA	NA	TRUE	BOW	676	no	lex	10-10	FOC	all	235	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.4629145417232693	0.7892204485985268	NA	NA	TRUE	BOW	676	no	lex	10-10	FOC	nav	235	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.1338569547260144	0.7013237761870704	NA	NA	TRUE	BOW	353	selection	lex	10-10	5000	all	234	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.08281723646434544	0.7019556284187712	NA	NA	TRUE	BOW	353	selection	lex	10-10	5000	nav	234	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.08190879984764021	0.5246719074848831	NA	NA	TRUE	BOW	353	selection	lex	10-10	FOC	all	234	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1102830491668835	0.5365593485494075	NA	NA	TRUE	BOW	353	selection	lex	10-10	FOC	nav	234	6	herroepen.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSall	0.0861113451376521	0.4995992010236008	NA	NA	TRUE	BOW	353	weight	lex	10-10	5000	all	234	7	herroepen.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	0.09846489995190424	0.5070368984496422	NA	NA	TRUE	BOW	353	weight	lex	10-10	5000	nav	234	7	herroepen.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.08474486194468112	0.5499606520230095	NA	NA	TRUE	BOW	353	weight	lex	10-10	FOC	all	234	7	herroepen.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.06047193368201463	0.556656564610754	NA	NA	TRUE	BOW	353	weight	lex	10-10	FOC	nav	234	7	herroepen.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound3-3all.PPMIno.LENGTH5000.SOCPOSall	0.94511136300375	-1.0225339343211102	NA	NA	TRUE	BOW	363	no	all	3-3	5000	all	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
herroepen.bound3-3all.PPMIno.LENGTH5000.SOCPOSnav	0.9612682173845944	-1.1285092162286428	NA	NA	TRUE	BOW	363	no	all	3-3	5000	nav	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
herroepen.bound3-3all.PPMIno.LENGTHFOC.SOCPOSall	0.8782316374043314	-0.5411647647200216	NA	NA	TRUE	BOW	363	no	all	3-3	FOC	all	236	8	herroepen.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound3-3all.PPMIno.LENGTHFOC.SOCPOSnav	0.9131550507530828	-0.6102783638181306	NA	NA	TRUE	BOW	363	no	all	3-3	FOC	nav	236	8	herroepen.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound3-3all.PPMIselection.LENGTH5000.SOCPOSall	0.9240430475192072	-0.7746069680425516	NA	NA	TRUE	BOW	302	selection	all	3-3	5000	all	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
