_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
haten.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.4190639509167411	0.2856815532056619	NA	NA	bound	548	all	5_5	1	no	FOC	548	all	4_4	229	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.4854112893950816	-0.0823399859493504	NA	NA	bound	188	lex	3_3	1	weight	5000	5000	nav	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.42797033586847405	-0.5658265357203918	NA	NA	bound	188	lex	3_3	1	weight	5000	5000	all	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.44253045977594707	0.1606807799325186	NA	NA	bound	188	lex	3_3	1	weight	FOC	142	nav	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.4265166162483503	0.13821687315654266	NA	NA	bound	188	lex	3_3	1	weight	FOC	188	all	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.559333020839386	-0.12974644787456188	NA	NA	bound	188	lex	3_3	1	selection	5000	5000	nav	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.5180047942635628	-0.553734673365393	NA	NA	bound	188	lex	3_3	1	selection	5000	5000	all	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.47932173751136903	0.11279601963452314	NA	NA	bound	188	lex	3_3	1	selection	FOC	142	nav	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.4608836419898282	0.08833216142203137	NA	NA	bound	188	lex	3_3	1	selection	FOC	188	all	4_4	172	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.039693705076048	-0.16201075772727078	NA	NA	bound	254	lex	3_3	1	no	5000	5000	nav	4_4	196	haten	NA	NA	BOW
