_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-1.4010184597776216	-1.1045192018628822	NA	NA	bound	288	lex	3_3	1	no	5000	5000	all	4_4	232	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0828118245735447	-0.7166840448762613	NA	NA	bound	288	lex	3_3	1	no	FOC	202	nav	4_4	232	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-1.1095394676009747	-0.6910977692062966	NA	NA	bound	288	lex	3_3	1	no	FOC	288	all	4_4	232	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.1594084003558034	-1.084950739724198	NA	NA	bound	269	all	3_3	1	weight	5000	5000	nav	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.034596306990411635	-1.465250742114209	NA	NA	bound	269	all	3_3	1	weight	5000	5000	all	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2785343450508481	-0.9314559279736384	NA	NA	bound	269	all	3_3	1	weight	FOC	133	nav	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.2272627240831921	-0.8511323880709186	NA	NA	bound	269	all	3_3	1	weight	FOC	269	all	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.4691329570206474	-1.0379893194801142	NA	NA	bound	269	all	3_3	1	selection	5000	5000	nav	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.8848609529632901	-1.5139243512840521	NA	NA	bound	269	all	3_3	1	selection	5000	5000	all	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.11684351024724042	-0.8177356299609738	NA	NA	bound	269	all	3_3	1	selection	FOC	133	nav	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.12707047618892411	-0.785383591455501	NA	NA	bound	269	all	3_3	1	selection	FOC	269	all	4_4	237	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.5334034653365813	-1.084574114691804	NA	NA	bound	411	all	3_3	1	no	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.0349694908777016	-1.5996745293934997	NA	NA	bound	411	all	3_3	1	no	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.24507480697001652	-0.8117685536271925	NA	NA	bound	411	all	3_3	1	no	FOC	202	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.24621343573775467	-0.7573363519237574	NA	NA	bound	411	all	3_3	1	no	FOC	411	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.092746288450971	0.19451031121383175	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.4303317514534393	0.2794707573022876	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9199520619547294	0.3472147306775272	NA	NA	nobound	451	lex	10_10	1	weight	FOC	307	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.9333155745930222	0.3474636571791889	NA	NA	nobound	451	lex	10_10	1	weight	FOC	451	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.3453005569807857	0.538751415988688	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
