cw	pmi_4	raw_4	pmi_10	raw_10	freq
Haarhuis/name			2.5193894	1	1724
Hadid/name	5.978907	1.0	5.7645874	2	133
Hagen/name	3.6979353	1.0	2.788425	1	1308
Haino/noun	10.862656	1.0	9.943196	1	1
Hakhoff/name			7.304139	1	14
Hall/name	2.257887	1.0	1.3502375	1	5487
Hals/name			3.6498697	1	549
Hamerpacht/name			9.943196	1	1
Han/name	2.865539	1.0	1.9582229	1	3005
Hanau/noun			7.745972	1	9
Handy/name			5.9116144	1	58
Hans/name			0.94945616	5	41463
Harnoncourt/name			3.5488536	1	608
Hartmann/name			4.6037374	1	211
Hartung/name			6.3458843	1	37
Heads-periode/name			9.943196	1	1
Heads/name			4.251655	1	299
Heads_gevoel/noun	10.862656	1.0	9.943196	1	1
Hedge/name			6.775614	1	24
Heerenberg/name			6.8612866	1	22
Heijne/name			3.8284087	1	462
Hema/name			2.4372919	1	1858
Hempel/name	5.4758697	1.0	4.5614576	1	220
Henryk/name			5.625042	1	76
Herbie/name			3.9528575	1	408
Hermans/name			0.2988554	1	15747
Hersteld/name	7.684602	1.0	6.7777214	1	24
Het/name	0.9005633	2.0	0.69067466	4	42799
Hieke/name			6.0793138	1	49
Highlanders/adj			9.25005	1	2
Hillenius/name			5.089215	1	130
Himalaya/name	4.2627854	1.0	3.354339	1	739
Hitler/name			0.92258304	1	8371
Hockney/name			3.9209602	1	418
Hoftheater/name	8.560071	1.0	7.6406116	1	10
Hog/name			5.953287	1	56
Holland/name			0.37968484	1	14651
Hollander/noun	2.9009805	1.0	1.9891403	1	2888
Hollands/adj	1.7580371	1.0	1.5400739	2	9059
Hollands/noun	4.955592	1.0	4.043025	1	371
Holle/name			4.9926653	1	144
Hollywood/name	1.835022	1.0	1.6196913	2	8427
Holst/name			3.0353413	1	1010
Homer/name	5.26516	1.0	4.3546376	1	271
Honda/name	3.4480076	2.0	2.944215	3	3374
Hoofddorp/name			2.727883	1	1394
Horbury/name	8.029443	1.0	7.80313	2	17
Horst/name			1.6751059	1	4044
Hot/name			2.6717708	1	1457
Hotter/name			6.7283287	1	25
Hottest/name	8.665431	1.0	7.745972	1	9
House/name			1.5156546	1	4637
Houten/name	3.569638	1.0	2.6631193	1	1482
Howlin/noun	6.347684	1.0	5.4378467	1	92
Hudson/name	4.065832	1.0	3.155577	1	900
Hugh/name	3.4845064	1.0	2.5757406	1	1614
Huis/name	0.95234156	1.0	0.043152377	1	20329
Humo's/name			4.3896556	1	263
Humoreske/noun			7.745972	1	9
Hutten/det			7.9972863	1	7
Hybert/name			6.509209	1	31
Hyundai/name	4.2684135	2.0	4.462141	6	1495
I/name			0.07345707	1	19610
IJburg/name			2.5283225	1	1693
Iers/adj	1.6596296	1.0	0.7523397	1	10053
Igor/name			2.3879716	2	3896
Ik/name			3.2371902	1	829
Ilove/name			9.943196	1	1
Image/name			4.0622444	1	365
Imanova/name			8.556902	1	4
Imperial/name	4.390696	1.0	3.479777	1	651
Inge/name	2.0306518	1.0	1.1287398	1	6995
Ingez/noun			6.664167	1	31
Interrogation/name	9.764044	1.0	8.844584	1	3
Invoke/noun	8.560071	1.0	7.6406116	1	10
Irakees/adj			3.1519752	1	910
Isenheimer/noun			9.943196	1	1
Isolde/name			3.7592537	1	492
Issues/name			6.0452724	1	50
Italiaans/adj	0.06308529	1.0	-0.84292054	1	49706
Ives/name			3.2672472	1	810
Izoard/name			5.552458	1	81
Jackson/name			1.6263951	2	8363
Jacques/name			0.10669313	1	19128
Jaki/name			5.8818917	1	59
Jam/name			2.919215	1	1141
Jamaica/name	3.6464052	1.0	2.7377841	1	1373
James/name	1.2266556	1.0	0.31604892	1	15435
Jan/name	-0.7550598	1.0	-1.6626873	1	112712
Janaceck/noun			9.25005	1	2
Janssen/name	1.5314593	1.0	0.62352204	1	11417
Japanner/noun			1.0680492	1	7273
Japans/adj	0.60454476	1.0	0.7968437	3	28973
Japans/noun			3.5421917	1	612
Jardin/name	5.288128	1.0	4.3752337	1	265
Jason/name			2.0927618	1	2617
Jaxx/name			4.335925	1	279
Jean-Luc/name	2.4303944	1.0	1.5221068	1	4641
Jean/name	1.1442636	1.0	0.23508231	1	16784
Jeep/name	5.0083003	1.0	4.0966134	1	351
Jef/name	1.4620566	1.0	0.5558026	1	12269
Jeff/name			1.8592663	1	3287
Jehoda/name			7.9972863	1	7
Jelena/name			2.8893516	1	1185
Jippes/name			5.6826315	1	74
Jo/name			1.1529388	2	13545
Joan/det	7.8731933	1.0	6.9651194	1	20
Job/name			1.8376173	1	3546
Joe/name	2.0749967	1.0	1.1644393	1	6604
Johan/name	0.0020618832	1.0	-0.21126181	2	52925
John/name			1.4620119	10	49311
Johnny/name			0.9528297	1	8195
Jolles/name	7.7271614	1.0	6.807702	1	23
Jones/name			0.5454807	1	12284
Jong/name	0.9750372	1.0	0.06886746	1	19942
Jongerius/name			3.754214	1	494
Jonker/name			2.8261533	1	1259
Joods/name			2.6522899	1	1519
Jooris/name	4.955252	1.0	4.043436	1	370
Joos/name			1.865051	1	3296
Joske/noun			6.211497	1	43
