met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
Mean of methods	0.019978390103306015	0.017563615191266525	0.018551933362262196	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	90	783	146
ward.D2	0.020073404156170212	0.017218565435323824	0.01853671054432879	diskwalificeren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	242	249	246
mcquitty	0.02087487902934487	0.01666934890984594	0.018536571989418597	diskwalificeren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	199	296	237
ward.D	0.019998563999258975	0.0172631003092429	0.018530423842675746	diskwalificeren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	261	249	255
ward.D	0.020793181106982812	0.01670897054885769	0.018528678243427216	diskwalificeren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	237	260	256
complete	0.0185398782047561	0.01849718884252194	0.018518508921506707	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	252	220	234
complete	0.02082599895361358	0.016639910537362797	0.01849909766759062	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	202	272	235
Mean of methods	0.018117846445128816	0.031787629363079654	0.018494843311768927	diskwalificeren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	140	273	147
average	0.012592706469941263	0.03479615507056092	0.01849285899015031	diskwalificeren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	mds	427	155	254
complete	0.02069260494816387	0.01671552690884942	0.018492652674949157	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	205	269	236
mcquitty	0.020111712774017364	0.017109264530153302	0.018489391677878907	diskwalificeren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	216	284	238
Mean of methods	0.018262001754045427	0.030300223955437144	0.01848712437173792	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	134	313	148
mcquitty	0.02062989232988688	0.01673902839283644	0.018481901364689406	diskwalificeren.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	204	293	239
mcquitty	0.02040328708374633	0.01689078730030728	0.018481626802676388	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	209	289	240
mcquitty	0.017321988341594038	0.019807612540862923	0.018481600951964508	diskwalificeren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds	291	213	241
Mean of methods	0.019559964052062007	0.022735533844882364	0.018471082527252224	diskwalificeren.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	102	539	149
complete	0.013560703146097546	0.028911974921751012	0.01846206677407862	diskwalificeren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds	412	68	237
Mean of methods	0.01717808033402653	0.030148544366719515	0.018461702601767598	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	179	316	150
Mean of methods	0.01717808033402653	0.030148544366719515	0.018461702601767598	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	180	317	151
mcquitty	0.018952189534373505	0.017993189521973547	0.018460243032193874	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	250	253	242
average	0.017591637671244463	0.0193821908599921	0.018443558183098643	diskwalificeren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	253	324	255
complete	0.0207485481595556	0.016599351652588926	0.018443470659046085	diskwalificeren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	203	274	238
complete	0.020261440476779066	0.016907589337400494	0.018433201871461122	diskwalificeren.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	212	264	239
average	0.019440396700336742	0.017511413832555795	0.018425556246323423	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	mds	211	368	256
average	0.018282709298543028	0.018554118424352426	0.01841741400725118	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	238	337	257
mcquitty	0.01939815243008973	0.017509356274888595	0.0184054233889389	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	237	267	243
average	0.02048739114872105	0.016703544564854275	0.018402981506343216	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	190	396	258
Mean of methods	0.01916701903789507	0.025094210763038003	0.01839717206122853	diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	112	444	152
mcquitty	0.019054229076076602	0.017779077360071064	0.018394580642242895	diskwalificeren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	mds	245	258	244
complete	0.020556668782723525	0.016637647808482318	0.0183906922706273	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	209	273	240
complete	0.01934458938036047	0.017525036994062795	0.01838991483574938	diskwalificeren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	234	241	241
mcquitty	0.01956918715775223	0.017331771097964483	0.018382648496064122	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	231	279	245
Mean of methods	0.013612544266302552	0.07092137775437947	0.018381121692349962	diskwalificeren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	mds	406	19	153
average	0.020661312167691157	0.01654847793416224	0.018377597270071377	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	184	404	259
Mean of methods	0.018503210357978698	0.0256814780313513	0.018369804533909437	diskwalificeren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	126	425	154
ward.D	0.020635077021964973	0.016537746482755862	0.01836060004417253	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	243	263	257
mcquitty	0.01957683698970725	0.017272801636092818	0.018352789041930318	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	230	280	246
ward.D	0.020478058009955034	0.01662352960953591	0.018350568022347732	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	248	261	258
Mean of methods	0.01819678333497925	0.026145751364136344	0.018349160759180205	diskwalificeren.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	137	409	155
Mean of methods	0.018387922299685246	0.03420361771049868	0.018332879439363074	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	130	231	156
ward.D	0.020564026304183115	0.016530089524830958	0.018327715229338057	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	246	265	259
ward.D2	0.02029376790122713	0.01670857196083619	0.018327483213125287	diskwalificeren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	237	258	247
single	0.010580003931550543	0.06837750610848367	0.018324647854031165	diskwalificeren.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	395	581	386
ward.D2	0.020066314777325216	0.016821188487092797	0.018301008918449414	diskwalificeren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	243	255	248
Mean of methods	0.016971918296816227	0.037879441522043755	0.018285198687674645	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	190	171	157
ward.D	0.020453012678317232	0.016530374255956534	0.01828366638432905	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	249	264	260
single	0.011629691463608326	0.04252829627365658	0.018264746708645994	diskwalificeren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	334	829	387
mcquitty	0.01927043963860171	0.01735658451592236	0.018263510179549122	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	240	278	247
average	0.020343813418067392	0.01651504408864334	0.018230569163428176	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	193	406	260
single	0.012408255004855564	0.03431631600777875	0.01822619622282195	diskwalificeren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	289	862	388
average	0.017610484147484735	0.018883082935781857	0.018224594594300744	diskwalificeren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	252	331	261
Mean of methods	0.017870515229502427	0.027015923209426935	0.018218517484570068	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	146	383	158
complete	0.018273780889580524	0.018155067119109587	0.018214230573038965	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	256	226	242
average	0.020405494440490494	0.016447037771696187	0.018213670413774263	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.20	191	407	262
ward.D2	0.020534898037040308	0.01635876477996803	0.01821047524799867	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.20	233	265	249
ward.D	0.020132127836458347	0.016607168697267354	0.018200546812762335	diskwalificeren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	256	262	261
complete	0.012538158967662203	0.03313013536746571	0.018191653964966914	diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	mds	459	44	243
average	0.018160689315306327	0.018211810717723906	0.018186214091052436	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	243	347	263
Mean of methods	0.015958295148899654	0.04656247488394403	0.018184366947216542	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	mds	236	95	159
average	0.01949019434047539	0.017040072719425845	0.018182967473676093	diskwalificeren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	tsne.50	209	385	264
ward.D2	0.017894664021767415	0.018479777696532113	0.018182514834861503	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	mds	294	209	250
ward.D	0.020422178712756305	0.016383546919494094	0.018181286600993378	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	tsne.10	250	269	262
single	0.011119341493570252	0.04972333866244337	0.018174438777858654	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	371	755	389
average	0.019972467591926644	0.0166537708459936	0.018162765967285992	diskwalificeren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	200	397	265
Mean of methods	0.015454977581684251	0.03208138914586068	0.018154567740142173	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	270	262	160
mcquitty	0.020047135120152364	0.01658692543061218	0.018153616079473026	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	218	299	248
mcquitty	0.01953069056529709	0.01695556715805179	0.01815225546198485	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	tsne.30	235	287	249
Mean of methods	0.016345741078142195	0.03619538582220239	0.018148386374527294	diskwalificeren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	218	195	161
complete	0.019736651794195637	0.016783646215052177	0.018140760028824143	diskwalificeren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	225	268	244
ward.D	0.01916794507890012	0.017215986787883567	0.018139605715922512	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	mds	278	251	263
Mean of methods	0.018939267187917507	0.022400542546088194	0.018137508264983445	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	119	551	162
complete	0.019916961755668195	0.016645484350497723	0.01813486298213114	diskwalificeren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	220	271	245
ward.D2	0.018036808977444856	0.01823306208381689	0.0181344045764169	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	mds	290	216	251
ward.D2	0.018036808977444856	0.01823306208381689	0.0181344045764169	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds	291	217	252
average	0.019980065962175275	0.01658980138236534	0.018127783882624846	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	199	400	266
complete	0.01753721027175098	0.018758549447813428	0.018127331049197858	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds	284	214	246
Mean of methods	0.017368280913409282	0.03386294197218486	0.018125179323159102	diskwalificeren.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	169	236	163
single	0.012624623673140035	0.03196648137108821	0.018100686092625395	diskwalificeren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	274	888	390
mcquitty	0.019802535020860018	0.01666352480950978	0.018097926408625703	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	223	297	250
ward.D2	0.020361661485230678	0.016284343444278763	0.018096176615128683	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	235	266	253
average	0.01956164623172039	0.016822388768601183	0.01808890178678282	diskwalificeren.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	207	391	267
mcquitty	0.01913968831316181	0.017132480385432247	0.0180805475036976	diskwalificeren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	244	283	251
ward.D	0.020090987178518496	0.016423885513620208	0.018073297204546413	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	257	266	264
average	0.020157495143603453	0.016376775632604996	0.01807151303521258	diskwalificeren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	196	409	268
average	0.020355159786382585	0.016247640784811297	0.018070930047186455	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	192	412	269
average	0.010528089525057311	0.06352770383955819	0.018062742236821847	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	516	88	270
single	0.010528089525057311	0.06352770383955819	0.018062742236821847	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	396	626	391
mcquitty	0.017924047709180733	0.018200519906138916	0.018061225845160386	diskwalificeren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	273	250	252
ward.D	0.019174022911393068	0.01700713841833128	0.018025693466197076	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	mds	277	255	265
single	0.010391247602508437	0.06787462006127626	0.018023232963128993	diskwalificeren.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	tsne.20	399	582	392
single	0.010391247602508437	0.06787462006127626	0.018023232963128993	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	tsne.30	400	583	393
single	0.010391247602508437	0.06787462006127626	0.018023232963128993	diskwalificeren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	401	584	394
ward.D	0.020247459890885514	0.016230663467468615	0.018017906476801782	diskwalificeren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	mds	255	273	266
complete	0.019992931718262157	0.01637379112062474	0.018003276748032513	diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	219	280	247
Mean of methods	0.018360840002977833	0.02807502761703801	0.017999824494920373	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	132	352	164
average	0.01920691680466318	0.01692012139990745	0.017991143487190605	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.10	214	388	271
complete	0.020266966191642553	0.016169784499960368	0.017988018666130184	diskwalificeren.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	211	285	248
ward.D2	0.01930274615030919	0.01683963454708692	0.017987259535994764	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	254	254	254
ward.D2	0.019765792669436226	0.016498505370335394	0.017984963401083017	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	248	262	255
Mean of methods	0.01433353520869166	0.039945879660483574	0.017981599386982676	diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	tsne.10	352	146	165
Mean of methods	0.018838165243845562	0.021781537803312753	0.01797704800924573	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	122	580	166
mcquitty	0.020143322623763	0.01623003230676795	0.017976168410844526	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	214	312	253
ward.D2	0.018662269424247598	0.01732801166612216	0.017970408260368213	diskwalificeren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	276	243	256
average	0.014336723245243235	0.024027835745901144	0.017958263581273698	diskwalificeren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	360	245	272
mcquitty	0.017710030964541445	0.01821311361104631	0.01795804959856101	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	282	248	254
complete	0.020209958555354887	0.016154079702733342	0.01795583202146285	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	214	286	249
Mean of methods	0.01573812544514584	0.04086917743809609	0.017948274171991508	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	mds	251	136	167
complete	0.02020726209388777	0.016131791642326573	0.017940992306886665	diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	215	288	250
complete	0.019722085703407947	0.016453903543115867	0.01794036887956676	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	226	278	251
median	0.0185062880532266	0.0174075532320716	0.017940113498606382	diskwalificeren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	11	15	11
mcquitty	0.01983288405905016	0.016376646854298696	0.01793981474736954	diskwalificeren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	221	308	255
complete	0.019806170328234042	0.016375037725619872	0.017927913619807345	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	222	279	252
Mean of methods	0.017144671203897226	0.04581251055582975	0.0179278884474085	diskwalificeren.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	181	104	168
average	0.01723552761314201	0.018674220674250494	0.017926054146024363	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	261	336	273
mcquitty	0.019704423948678197	0.016433504307089942	0.017920935231124882	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	tsne.30	227	307	256
ward.D2	0.02020164452227626	0.016097006293000007	0.017917249908758356	diskwalificeren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	239	273	257
mcquitty	0.01954497211010711	0.016521263692797005	0.017906367598996376	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	233	300	257
complete	0.015876750581996616	0.020520931387911195	0.017902552674947555	diskwalificeren.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	mds	330	173	253
Mean of methods	0.017601820753527304	0.03182811301497423	0.017892392105556047	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	155	271	169
Mean of methods	0.017601820753527304	0.03182811301497423	0.017892392105556047	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	156	272	170
median	0.018974976819986156	0.0169140505129129	0.01788533935108304	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	9	17	12
mcquitty	0.017506388636214665	0.018279510253589638	0.017884598152161216	diskwalificeren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	287	244	258
average	0.018744165405391335	0.01709807151731278	0.01788331913127379	diskwalificeren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	tsne.20	221	384	274
ward.D	0.019905158369234538	0.01623331930556804	0.017882700790187587	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	262	272	267
ward.D	0.019676212615841484	0.01637571149884895	0.01787488402349861	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	265	270	268
Mean of methods	0.01598073461976828	0.026210638378315578	0.0178708148676466	diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	235	407	171
ward.D2	0.019926527354560762	0.01619647297325349	0.01786891779863781	diskwalificeren.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	247	269	258
Mean of methods	0.016426926180132223	0.03479973453995563	0.017868765232564105	diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	216	215	172
ward.D	0.019032238889154684	0.016815247123062475	0.017855187954727215	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	mds	283	259	269
Mean of methods	0.015730744090031418	0.039271724721101374	0.017837011168608568	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	mds	253	158	173
ward.D2	0.019385643398525547	0.016513051426634017	0.017834415871514502	diskwalificeren.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	253	261	259
ward.D2	0.0189981788496603	0.016799998252399504	0.01783159910981621	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	259	256	260
complete	0.019426028839855006	0.016478397676493475	0.017831218017221654	diskwalificeren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	232	277	254
Mean of methods	0.015792432206100385	0.04042515071107041	0.017814074368748177	diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	mds	246	141	174
mcquitty	0.014914137583010684	0.022097766558526393	0.017808817912788877	diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	mds	366	168	259
average	0.019691168670549198	0.016254780508200627	0.0178087173660699	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	202	411	275
mcquitty	0.019625356929242544	0.016278341533091854	0.017795841458404984	diskwalificeren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	228	310	260
mcquitty	0.019307026522125598	0.016471431671081792	0.017776862625753467	diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	238	305	261
ward.D2	0.01971775929460417	0.01617261498491717	0.017770097740042744	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	249	270	261
ward.D	0.019644098220535606	0.016187330109382402	0.0177489716384783	diskwalificeren.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	tsne.50	266	275	270
Mean of methods	0.017415785052668567	0.018382460771597834	0.01772836717314693	diskwalificeren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	165	743	175
Mean of methods	0.018251998722137425	0.02609587186298144	0.01771433209237716	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	135	410	176
Mean of methods	0.013033018325994185	0.06495722702387664	0.01770270856501012	diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	mds	468	26	177
Mean of methods	0.013326308107688386	0.03746620392417652	0.01770242407945342	diskwalificeren.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	437	175	178
average	0.01900673851313553	0.016563494809018833	0.017701206053243355	diskwalificeren.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	218	403	276
average	0.01586092551231436	0.01999649808707348	0.01769022616960264	diskwalificeren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.20	301	309	277
Mean of methods	0.017607211213419256	0.027830456506022512	0.017690064745814877	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	154	360	179
mcquitty	0.018787901905467804	0.016675659399112124	0.017668877093798795	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	254	295	262
Mean of methods	0.018439070117913833	0.027420476293752934	0.017665292737241545	diskwalificeren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	128	371	180
Mean of methods	0.01579587310112964	0.044298621250474714	0.017654720588147935	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	mds	245	112	181
mcquitty	0.018652932082503713	0.016752282221438902	0.017651591080392787	diskwalificeren.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	257	291	263
Mean of methods	0.012929306486834229	0.06004717983514301	0.017651542282840122	diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	mds	476	42	182
complete	0.018943591246400646	0.01650967235369562	0.017643085737221773	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	mds	240	276	255
Mean of methods	0.015144621340070798	0.04722003447151179	0.01762094009124785	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	296	89	183
average	0.019597403966590016	0.016006210912884677	0.01762069285920052	diskwalificeren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	205	415	278
ward.D	0.01975401635360806	0.015899283796630165	0.01761826876086192	diskwalificeren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	263	282	271
mcquitty	0.019552199785648088	0.016022793375311564	0.01761241981303023	diskwalificeren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	232	316	264
ward.D	0.019256838033558436	0.016223332583548047	0.01761040505117018	diskwalificeren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	276	274	272
complete	0.019752048679235985	0.01588442057413688	0.017608357673767804	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	224	290	256
average	0.012814481716512099	0.02810127269138226	0.017602180398509762	diskwalificeren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	mds	420	199	279
ward.D	0.01973455665077794	0.015881121658012268	0.0175993781345778	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	264	283	273
mcquitty	0.019582464306261652	0.015975969225242134	0.017596323349512194	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	229	318	265
Mean of methods	0.014012766432819568	0.06236317375530875	0.017589527683108824	diskwalificeren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	mds	378	32	184
ward.D	0.019637141079394377	0.01592798333721322	0.01758914447981192	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	267	280	274
average	0.018671450959016393	0.016614754554271013	0.017583164318382048	diskwalificeren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	222	399	280
