measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
kNN_k21	0.4150044532819652	0.39542599118812377	0.5027113237639553	0.3412042502951594	0.34236239950525665	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.41939973901696387	0.40402866670809257	0.4888038277511962	0.36198347107438017	0.3612987012987013	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.0644275148287954	1.0563149252821777	1.1285836205816158	1.08337054739869	0.9569906078662274	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	-0.01721348932909753	-0.020414486405279188	0.025830036548252135	0.00953192666931911	-0.0966054224334088	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4451215723594069	0.36884913225570204	0.61275427339763	0.14979923109949678	0.3439938922699793	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k15	0.490810502283105	0.4242243150684932	0.6288812785388128	0.224	0.4197916666666667	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.5039850560398506	0.43746056454960563	0.6376089663760897	0.23272727272727273	0.4420454545454545	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.082495820210949	1.0842368623986232	1.1281859809573054	1.1430594764580786	0.9814651297804854	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.03239357563675943	-0.02529512696175217	-0.006207216636301201	0.04051231932900151	-0.11019048357795681	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.41930491239250284	0.34921759422947285	0.5818906728846658	0.1572210079067532	0.30854110189699957	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k15	0.4631849315068493	0.39577327498731607	0.5906392694063927	0.17966666666666667	0.4170138888888889	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
