cw	pmi_4	raw_4	pmi_10	raw_10	freq
Bohlen/noun			7.964983	1	3
Boliviaan/name	7.528109	1.0	6.643227	1	12
Bolster/name			5.415538	1	39
Bommel/name	1.6135025	1.0	2.0902746	4	4332
Bond_acteur/noun			5.80166	1	28
Bonheiden/name	2.098622	1.0	1.2094275	1	2701
Bonn/name	1.9943799	1.0	1.0905604	1	2963
Boogaard/name			2.1801326	1	999
Boogerd/name			1.0291424	2	6301
Book/name			1.384182	1	2201
Boomgaardt/name			3.6377645	1	231
Boon/name	1.7152957	1.0	0.80659866	1	3918
Boordevol/name			5.2155776	1	48
Bootsy/name	6.5155315	1.0	5.5978594	1	32
Border/name	4.1888256	2.0	3.2892766	2	665
Boris/name			0.39478886	1	5967
Borsato/name			1.6902837	1	1639
Bos/name	0.35295695	1.0	0.13777858	2	15326
Bosch/name	0.15987137	1.0	-0.048845623	2	18576
Bosschaart/name	4.0378118	1.0	3.1242137	1	383
Boston/name	1.4991573	1.0	0.59268683	1	4857
Bosvelt/name	2.324398	1.0	1.415213	1	2140
Boudewijn/name			0.45687217	1	5625
Boukhari/name	3.8038418	1.0	2.8936708	1	486
Boulez/name			2.0858476	1	1091
Bounty's/name			7.3408284	1	6
Bouteflika/name			2.5363686	1	697
Bouterse/name			0.5871928	1	4908
Boy/name	3.0570235	3.0	2.660021	5	3075
Boys/name			0.28376088	1	6603
Brabant/name			0.23275255	1	7323
Brahms/name	2.530461	1.0	1.6202826	1	1737
Brandts/name			3.9254465	1	174
Branko/name			2.091739	1	1106
Braziliaan/noun	1.2412906	1.0	1.024938	2	6289
Braziliaans/adj			1.0183061	3	9655
Brazilië/name			0.6184854	3	14276
Brenton/noun			7.4541574	1	5
Brest/name	4.241474	1.0	3.3357708	1	313
Brewster/name	6.2525663	1.0	5.345157	1	42
Brian/name			0.54237014	1	5117
Bridget/name	2.6362252	1.0	1.7308991	1	1564
Briek/name			2.8006732	1	544
Brigde/name			9.063595	1	1
Brighton/name			2.8543012	1	502
Bringetto/name			9.063595	1	1
Brit/noun			0.51267475	4	21127
Brits/adj	-0.761229	2.0	0.12729539	12	94154
Britse/name	3.432511	1.0	2.5298064	1	709
Broek/name			0.79092246	1	4002
Broers/name	3.2373552	1.0	2.3328755	1	895
Bronson/name			4.0559645	2	304
Brood/name	2.7741947	2.0	2.2779133	3	2748
Broos/name			0.85243815	1	3763
Brother-kijkend/name			9.063595	1	1
Brother/name	1.0959647	1.0	0.888836	2	7330
Brown/name			0.29798847	1	6509
Bruce/name			0.7786746	1	4052
Brugge/name			-1.95148	1	63064
Bruggink/name	3.1028764	2.0	2.192504	2	1957
Bruno/name			-0.06373304	1	9414
Brussel/name			-1.9859987	2	132165
Brusselmans/name			2.4877527	3	2205
Brussels/adj	-0.5171067	1.0	-1.4219306	1	36613
Brutus/noun	7.043429	1.0	6.137749	1	19
Buena/name			2.4687715	1	751
Buffalostrateeg/name			9.063595	1	1
Bug's/name			4.5028996	1	98
Buggenhout/name			1.496185	2	4027
Bukowski/name			3.8287504	1	190
Burns/name			2.0181236	1	1163
Burundees/adj			2.6826255	1	608
Bush/name	-0.100690715	2.0	0.0899893	6	48326
Busscher/name			3.6132007	1	236
C&A/name			2.2813466	1	914
C./name			-0.59430504	1	15903
C.J./name			3.8863163	2	365
CBS/name			0.8852932	2	7244
CD&V/name	0.4170709	1.0	0.20222738	2	14421
CDA/name	-0.19205183	1.0	-1.0974567	1	26499
CDandamp;V/name	1.49776	1.0	0.59289634	1	4905
CRM/name			3.555017	1	278
Cacharel/name			5.1986637	1	48
Californisch/adj	3.0509558	2.0	2.1417892	2	2059
Callewaert/name	3.064924	1.0	2.15534	1	1014
Calvin/name			2.5373933	1	693
Cambie/name			4.8686514	1	68
Canada/name			0.27206358	2	13415
Canadees/adj	0.7933898	1.0	0.98707473	3	9917
Cannavaro/det			7.964983	1	3
Canvas/name			0.21469828	1	7456
Capleton/name	6.8189616	1.0	5.9044695	1	24
Capuletti's/name			6.76101	1	10
Caracas/name			2.9083126	1	481
Cardinale/name			4.750115	2	151
Carlisle/name			4.4196854	1	106
Carlo/name	1.4375051	1.0	1.2217289	2	5180
Carlos/name			-0.07654262	1	9491
Carlotta/name	5.586818	1.0	4.6753383	1	81
Caro/name			3.2194712	1	349
Carrey/name			2.796205	1	536
Carsauw/name			7.1248536	1	7
Cartridge/noun			8.370448	1	2
Caryn/name			5.585437	1	33
Cassatie/name			2.0565603	2	2245
Castle/noun			5.7677584	1	27
Castro/name			0.885602	1	3630
Cats/name	3.0765164	1.0	2.1681657	1	1009
Cecilia/name			2.237484	1	944
Cedolins/name			6.8663707	1	9
Cellulitis/name			6.8663707	1	9
Centraal/name			-0.42502442	1	13476
Century/name			2.21729	1	964
Cera_bank/noun			6.7314515	1	11
Chadia/name			4.6477714	1	85
