	file	token_id	left	target	right	type
84	het_laatste_nieuws_20020614_01_116		In dat netwerk plant minister Renaat Landuyt onder andere de	herwaardering	van de Vredestuinen in Passendale en Billewaarde Ridge in Zillebeke	herwaardering/noun
85	volkskrant_20000805_128		met apen willen samenleven ' . 's Avonds hebben ze	huisarrest	: in Oost-Berlijn is het te gevaarlijk om je dan	huisarrest/noun
86	volkskrant_20010528_97		rechtstreeks . Wat treurig om een groot komisch talent zo	hulpeloos	te zien rondfladderen . Na zijn doorbraak in Dit was	hulpeloos/adj
87	de_standaard_20001201_01_129		mezelf . Ik vraag me vaak af waarom ik zo'n	droeve	woorden op papier zet . Want ik wil mijn publiek	droef/adj
88	de_morgen_20000420_01_14		"zulke kantoren . 	 Gabriëls wil dat de Eetwareninspectie haar"	heksenjacht	stoptzet . Binnen de regering wil hij het gebruik van	heksenjacht/noun
89	het_laatste_nieuws_20041204_01_711		het maar geen eieren kapot pikt . andquot; Als u	haarfijn	aanvoelt wat er leeft , waarom bent u dan zo	haarfijn/adj
90	het_laatste_nieuws_20041227_01_434		Joesjtsjenko lijkt ruim te winnen	Heruitgave	tweede ronde presidentsverkiezingen Oekraïne verloopt rustig met 12.000 buitenlandse waarnemers	heruitgave/noun
91	de_standaard_20021026_01_52		genoemd . Rosa pendulina krijgt dan weer een waterval aan	hangende	bottels . Bol of lang , geel of rood ,	hangend/adj
92	het_nieuwsblad_20000125_01_589		om de verre tocht te kunnen bekostigen . Aan zo'n	hachelijk	avontuur begin je niet zomaar . Zo'n mensen dromen enkel	hachelijk/adj
93	de_standaard_20040513_01_149		laboranten te betalen . Het Rekenhof waarschuwt daarvoor bij de	doorlichting	van de begroting voor dit jaar ( DS 12 mei	doorlichting/noun
94	nrc_handelsblad_20011101_50		de Kennedymoord , het Warrenrapport en de samenzweringstheorie gaat .	Doortastende	Yves Montand bewijst dat Daslow ( ! ) niet in	doortastend/adj
95	de_morgen_20040811_01_113		de Nations Cup in Luzern . Clinton is een 11-jarige	hengst	. IDENTIKIT > Geboren : 15 juli 1964 , Sint-Truiden	hengst/noun
96	de_morgen_20040811_01_113		Zangersheidedomein van Leon Melchior . Cumano BD is een 11-jarige	hengst	. Was lid van de Belgische ploeg die in 2002	hengst/noun
97	de_morgen_20040811_01_113		paard klaar voor de Spelen : Parco , een 12-jarige	hengst	. IDENTIKIT > Geboren : 22 juni 1963 , Genk	hengst/noun
98	algemeen_dagblad_20000705_17		Zij prijzen de Schepper en symboliseren met een ritme de	hartslag	van de indianenstammen . Aan de oostzijde van de Cirkel	hartslag/noun
99	de_standaard_20030111_01_6		licht . Ik heb de indruk dat Psykko naar me	gluurt	, al heeft ze het misschien op mijn buurman gemunt	gluur/verb
100	het_nieuwsblad_20040724_01_295		. Zo krijgen de deelnemers de kans om tussendoor de	dorst	"te lessen . 	 Ook nu bestaat de opdracht uit"	dorst/noun
101	parool_20040626_208		verleden . De sfeer is losser geworden en als professionele	dwarsligger	is Hugo Borst aangetrokken , een soort Jan Mulder van	dwarsligger/noun
102	het_nieuwsblad_20020528_01_336		van Antwerpen , waar een zaak tegen het betrokken incasso	hangende	is . ( YNG , CG	hangend/adj
103	het_laatste_nieuws_20020408_01_324		De Schepper liet de uitgelezen kans echter onbenut door de	dwarsligger	te viseren . In de slotminuut sleepte Stekene een onverhoopte	dwarsligger/noun
104	het_laatste_nieuws_20010910_01_193		augustus heerst , weerspiegelt haatgevoelens die soms leiden tot een	heksenjacht	. Dankzij Mercurius ( communicatie ) en Venus ( charme	heksenjacht/noun
105	het_laatste_nieuws_20010910_01_193		is u te veel en u neemt meteen behoorlijk wat	hooi	op uw vork . Morgen bent u met geen tien	hooi/noun
106	het_laatste_nieuws_20010910_01_193		Maan u te dwarsbomen , terwijl u donderdag uw goede	humeur	aan haar te danken hebt	humeur/noun
107	de_morgen_20010518_01_208		vermenigvuldigen , bleven de inbeslagnames van illegale software wat achterop	hinken	". 	 We hebben de afgelopen jaren niets in beslag"	hink/verb
