_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
blik.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	1645	all	10_10	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	1645	all	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	1645	all	10_10	1	no	NA	NA	FOC	905	nav	4_4	NA	276	blik
blik.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	1645	all	10_10	1	no	NA	NA	FOC	1645	all	4_4	NA	276	blik
blik.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	411	lex	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	411	lex	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	411	lex	5_5	1	weight	NA	NA	FOC	284	nav	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	411	lex	5_5	1	weight	NA	NA	FOC	411	all	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	411	lex	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	411	lex	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	411	lex	5_5	1	selection	NA	NA	FOC	284	nav	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	411	lex	5_5	1	selection	NA	NA	FOC	411	all	4_4	NA	262	blik
blik.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	657	lex	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	657	lex	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	657	lex	5_5	1	no	NA	NA	FOC	472	nav	4_4	NA	276	blik
blik.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	657	lex	5_5	1	no	NA	NA	FOC	657	all	4_4	NA	276	blik
blik.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	518	all	5_5	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	518	all	5_5	1	weight	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	518	all	5_5	1	weight	NA	NA	FOC	284	nav	4_4	NA	276	blik
blik.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	518	all	5_5	1	weight	NA	NA	FOC	518	all	4_4	NA	276	blik
blik.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	518	all	5_5	1	selection	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	518	all	5_5	1	selection	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	518	all	5_5	1	selection	NA	NA	FOC	284	nav	4_4	NA	276	blik
blik.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	518	all	5_5	1	selection	NA	NA	FOC	518	all	4_4	NA	276	blik
blik.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	868	all	5_5	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	868	all	5_5	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	868	all	5_5	1	no	NA	NA	FOC	472	nav	4_4	NA	276	blik
blik.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	868	all	5_5	1	no	NA	NA	FOC	868	all	4_4	NA	276	blik
blik.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	279	lex	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	238	blik
