measure	globqual	meanclassqual	classqual_heet_3	classqual_heet_1	model	classqual_heet_5	classqual_heet_7	classqual_heet_2	classqual_heet_6	technique
SCP	0.6506884999622735	0.26955858316331593	0.5909220688585183	0.8386878329233007	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.03368217474381598	0.026463599056049183	0.06985672423737087	0.057739099160840635	mds
kNN	0.6549985839705466	0.3232661509821656	0.5767379679144384	0.8293847566574839	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.012987012987012986	0.09256198347107437	0.3140495867768595	0.11387559808612441	mds
DR	1.3713731638295419	1.4490459454600244	1.862658908057643	1.2098321769947593	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	1.0942209749259608	1.084366213150263	2.333082973776796	1.1101144258547244	mds
SIL	-0.10144138399144989	-0.08212814240551941	0.00738750483594374	-0.12965075030516454	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.3237714865726072	-0.13898881143121214	0.3856684229594658	-0.2934137339195421	mds
SCP	0.6538783988117379	0.2720070213381839	0.5775327880515475	0.8468342762356262	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.035597848104124634	0.025308609478598212	0.07697729479232639	0.06979131136688023	mds
kNN	0.6661002548853016	0.337713751103844	0.6008021390374332	0.8340679522497704	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.06753246753246753	0.05785123966942148	0.32727272727272727	0.13875598086124402	mds
DR	1.2969279934679585	1.4851677907492262	1.6177350481406905	1.134255792598822	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	1.190895193257163	0.9732917319785419	2.694404581770737	1.3004243967494027	mds
SIL	-0.09310730084085295	-0.11018063303740727	-0.09196450681705012	-0.07964912080308766	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.29358333049777974	-0.3497440887300007	0.3536584135237656	-0.19980116490029107	mds
SCP	0.6206322848923108	0.26095366757570476	0.5249902175815391	0.8082614492161208	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	0.04105596806261825	0.024035076412514296	0.06643928409579906	0.10094001008563722	mds
kNN	0.638346077598414	0.34348249763391897	0.5176470588235293	0.8054178145087236	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	0.06623376623376623	0.12396694214876033	0.3074380165289256	0.2401913875598086	mds
DR	1.2503318280781301	1.8590955435386745	1.5157288856477045	0.9625573460288072	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	1.0374717811194953	0.9833833665136429	5.511803706064561	1.1436281758578357	mds
SIL	-0.13489212689969984	-0.08985516202300108	-0.07331180674066291	-0.15968090218166442	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2993083185161344	-0.4007379784799886	0.6980212079739618	-0.30411317419351797	mds
SCP	0.5912616430594566	0.28179624364328754	0.5063051258078531	0.75806821061824	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.03993805363542206	0.0300995161547443	0.2990573526354876	0.05730920300797793	mds
kNN	0.616822429906542	0.36064593978328846	0.5147058823529411	0.7682277318640954	heet.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.11948051948051948	0.1272727272727273	0.5289256198347108	0.10526315789473684	mds
DR	1.327039698955406	1.3515727607102266	1.6727634119755226	1.2272075623780672	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.9985453522225064	1.003610387923376	2.0891877930319516	1.118122056729936	mds
SIL	-0.0762538460075145	-0.10657109624412595	-0.07262980695181614	-0.054989240699702596	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.3130622722685489	-0.24431341926163636	0.3057829607664845	-0.26021479904953615	mds
SCP	0.6152094687120307	0.24603786713154402	0.4906660283429934	0.8162807481446485	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.030946622087014684	0.021804972192547185	0.04922422689468078	0.06730460512737968	mds
kNN	0.6309827244406684	0.29387006989737074	0.5237967914438503	0.814692378328742	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.08571428571428572	0.01652892561983471	0.23636363636363636	0.0861244019138756	mds
DR	1.30008252964078	1.3447041961147164	1.5866996313351978	1.2070163801078286	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	1.019589446771281	1.0087859898838842	2.075720645523224	1.170413083066882	mds
SIL	-0.08630204904934045	-0.11009780056447163	-0.13513659278501947	-0.05393716201695996	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.27802374949635866	-0.2552716094842831	0.28845688204284914	-0.22667457164705773	mds
SCP	0.5738305442524758	0.2276653517502809	0.42118486054285725	0.7727353270558391	heet.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.033812892959475406	0.0193765336571511	0.04848129625349147	0.07040120003287116	mds
