_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
spoor.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6856061181153941	0.6570353338321542	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	selection	FOC	236	all	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.5166682029375762	1.3116024809863325	NA	NA	BOW	BOW	nobound	391	lex	3_3	1	no	5000	5000	nav	4_4	NA	340	spoor
spoor.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	-1.733792679259199	1.6884090029869185	NA	NA	BOW	BOW	nobound	391	lex	3_3	1	no	5000	5000	all	4_4	NA	340	spoor
spoor.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.312424745104617	1.3081197673200038	NA	NA	BOW	BOW	nobound	391	lex	3_3	1	no	FOC	299	nav	4_4	NA	340	spoor
spoor.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	-1.3383376531742188	1.320230837012296	NA	NA	BOW	BOW	nobound	391	lex	3_3	1	no	FOC	391	all	4_4	NA	340	spoor
spoor.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.7768280405112217	0.6241383445991594	NA	NA	BOW	BOW	nobound	362	all	3_3	1	weight	5000	5000	nav	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	1.397464083301113	0.577145308206503	NA	NA	BOW	BOW	nobound	362	all	3_3	1	weight	5000	5000	all	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.46022776043229285	0.7131704140509743	NA	NA	BOW	BOW	nobound	362	all	3_3	1	weight	FOC	176	nav	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.4341601263918013	0.658892878461394	NA	NA	BOW	BOW	nobound	362	all	3_3	1	weight	FOC	362	all	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.9625093098250584	-0.019672319334001768	NA	NA	BOW	BOW	nobound	362	all	3_3	1	selection	5000	5000	nav	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	1.4897225526093791	-0.4350285668082683	NA	NA	BOW	BOW	nobound	362	all	3_3	1	selection	5000	5000	all	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.4725645448703152	0.4124079015848763	NA	NA	BOW	BOW	nobound	362	all	3_3	1	selection	FOC	176	nav	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.46610455281244284	0.34010390436271715	NA	NA	BOW	BOW	nobound	362	all	3_3	1	selection	FOC	362	all	4_4	NA	356	spoor
spoor.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	1.0140032506883954	-0.19836030612838637	NA	NA	BOW	BOW	nobound	598	all	3_3	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	1.6170223504721943	-0.8043498228700225	NA	NA	BOW	BOW	nobound	598	all	3_3	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.3985383060801384	0.5281266709623887	NA	NA	BOW	BOW	nobound	598	all	3_3	1	no	FOC	299	nav	4_4	NA	358	spoor
spoor.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	0.33238639529045855	0.5609352003964778	NA	NA	BOW	BOW	nobound	598	all	3_3	1	no	FOC	598	all	4_4	NA	358	spoor
spoor.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	0.8790274494502052	0.4528831832348795	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	weight	5000	5000	nav	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	1.4289048651714056	0.29267251742656014	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	weight	5000	5000	all	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	0.5870123367765093	0.5880594979622848	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	weight	FOC	158	nav	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	0.5986923612001411	0.5334560254066937	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	weight	FOC	286	all	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	0.9375563031719629	0.12914796441957963	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	selection	5000	5000	nav	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	1.366287961678925	-0.1103726617044786	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	selection	5000	5000	all	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	0.6732633779261831	0.2701059930925852	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	selection	FOC	158	nav	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	0.6593094990809749	0.2246273633676965	selection2	NA	dependency	LEMMAPATH	bound	286	NA	NA	1	selection	FOC	286	all	4_4	NA	356	spoor
spoor.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	0.9591744315870769	0.08682431096897192	selection2	NA	dependency	LEMMAPATH	bound	487	NA	NA	1	no	5000	5000	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	1.479980424385586	-0.2907921311038729	selection2	NA	dependency	LEMMAPATH	bound	487	NA	NA	1	no	5000	5000	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	0.7125147028731549	0.2178839169713133	selection2	NA	dependency	LEMMAPATH	bound	487	NA	NA	1	no	FOC	267	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	0.6654808123314371	0.17710633987481503	selection2	NA	dependency	LEMMAPATH	bound	487	NA	NA	1	no	FOC	487	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	0.5580123980577445	0.021500975338545492	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	weight	5000	5000	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	0.9528381141852269	-0.4978242225467843	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	weight	5000	5000	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	0.2404223572629539	0.20796983943721528	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	weight	FOC	227	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	0.23454056764918335	0.16574062665874592	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	weight	FOC	417	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	0.7371969038793461	-0.23076308451547523	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	5000	5000	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	1.076935744242079	-0.631914623725715	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	5000	5000	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	0.4016174596417959	-0.07650588202544766	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	FOC	227	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	0.397988015763165	-0.11591333973232451	selection3	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	FOC	417	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	0.7142303582634575	-0.4472847834866484	selection3	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	5000	5000	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	1.108170584447376	-1.0880026187718872	selection3	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	5000	5000	all	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	0.42162505908342135	-0.29185423597719856	selection3	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	FOC	434	nav	4_4	NA	357	spoor
spoor.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	0.3792233107782165	-0.4027482316676533	selection3	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	FOC	800	all	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	0.7371969038793461	-0.23076308451547523	weight	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	5000	5000	nav	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	1.076935744242079	-0.631914623725715	weight	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	5000	5000	all	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	0.4016174596417959	-0.07650588202544766	weight	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	FOC	227	nav	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	0.397988015763165	-0.11591333973232451	weight	NA	dependency	LEMMAPATH	bound	417	NA	NA	1	selection	FOC	417	all	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	0.9549000163398615	-0.08941092163258574	weight	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	5000	5000	nav	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	1.276822521890786	-0.40188028872780285	weight	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	5000	5000	all	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	0.7263238321710691	-0.01132619931069925	weight	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	FOC	434	nav	4_4	NA	357	spoor
spoor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	0.7125888422048091	-0.05216355185952896	weight	NA	dependency	LEMMAPATH	bound	800	NA	NA	1	no	FOC	800	all	4_4	NA	357	spoor
spoor.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	1.4410596143182817	0.41220132356524614	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	weight	5000	5000	nav	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	1.7215736138711284	0.2749169322725501	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	weight	5000	5000	all	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	1.2336151036456822	0.9232856664633283	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	weight	FOC	60	nav	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	1.2462957791001987	0.8991409783948175	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	weight	FOC	104	all	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	1.3430655136263132	0.2364361022943649	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	selection	5000	5000	nav	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	1.718592771285471	0.17966142492137185	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	selection	5000	5000	all	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	1.2497166045108201	0.7834909788547325	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	selection	FOC	60	nav	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	1.2744764621606153	0.7219210482141198	NA	group1	dependency	LEMMAREL	bound	104	NA	NA	1	selection	FOC	104	all	4_4	NA	354	spoor
spoor.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	1.3694285596869746	0.19898348324530407	NA	group1	dependency	LEMMAREL	bound	139	NA	NA	1	no	5000	5000	nav	4_4	NA	356	spoor
spoor.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	1.7443208641156909	0.13917929515880048	NA	group1	dependency	LEMMAREL	bound	139	NA	NA	1	no	5000	5000	all	4_4	NA	356	spoor
spoor.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	1.2984895048378862	0.7829714939849546	NA	group1	dependency	LEMMAREL	bound	139	NA	NA	1	no	FOC	73	nav	4_4	NA	356	spoor
spoor.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	1.3676908739091067	0.71543194235379	NA	group1	dependency	LEMMAREL	bound	139	NA	NA	1	no	FOC	139	all	4_4	NA	356	spoor
spoor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	1.1247769732419723	0.47206766089933916	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	weight	5000	5000	nav	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	1.5865091242904328	0.34228116534461495	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	weight	5000	5000	all	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	0.8552840683082789	0.7540608689917297	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	weight	FOC	128	nav	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	0.8543069730126461	0.6881234879894629	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	weight	FOC	204	all	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	1.13697057413264	0.19865347864151472	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	selection	5000	5000	nav	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	1.5685539638817692	0.08661842903405517	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	selection	5000	5000	all	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	0.9446778311483991	0.4634410642777576	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	selection	FOC	128	nav	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	0.9526919651621553	0.3817266151147153	NA	group2	dependency	LEMMAREL	bound	204	NA	NA	1	selection	FOC	204	all	4_4	NA	355	spoor
spoor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	1.1617248245378864	0.16932950953891043	NA	group2	dependency	LEMMAREL	bound	307	NA	NA	1	no	5000	5000	nav	4_4	NA	356	spoor
spoor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	1.6379784585884645	-0.006250226835198619	NA	group2	dependency	LEMMAREL	bound	307	NA	NA	1	no	5000	5000	all	4_4	NA	356	spoor
spoor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	0.9973488178917274	0.40962061930508675	NA	group2	dependency	LEMMAREL	bound	307	NA	NA	1	no	FOC	196	nav	4_4	NA	356	spoor
spoor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	1.003852164481384	0.3478657036330397	NA	group2	dependency	LEMMAREL	bound	307	NA	NA	1	no	FOC	307	all	4_4	NA	356	spoor
spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	1.097167736016058	0.53371100893127	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	weight	5000	5000	nav	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	1.5440340533286114	0.42465842964298434	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	weight	5000	5000	all	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	0.8033128095012364	0.745854067196773	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	weight	FOC	140	nav	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	0.7705032458889218	0.7143065365594568	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	weight	FOC	247	all	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	1.148927598669598	0.22991744324117266	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	selection	5000	5000	nav	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	1.552609180632326	0.04431945611448045	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	selection	5000	5000	all	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	0.8907012134572593	0.3922228571381187	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	selection	FOC	140	nav	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	0.8503567603061057	0.33907039159523156	NA	group3	dependency	LEMMAREL	bound	247	NA	NA	1	selection	FOC	247	all	4_4	NA	355	spoor
spoor.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	1.186521427086884	0.204743012452282	NA	group3	dependency	LEMMAREL	bound	396	NA	NA	1	no	5000	5000	nav	4_4	NA	356	spoor
spoor.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	1.6562936659712082	-0.09489002288363776	NA	group3	dependency	LEMMAREL	bound	396	NA	NA	1	no	5000	5000	all	4_4	NA	356	spoor
spoor.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	0.9311605143843362	0.34313612741037186	NA	group3	dependency	LEMMAREL	bound	396	NA	NA	1	no	FOC	224	nav	4_4	NA	356	spoor
spoor.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	0.8926976080424136	0.3234769596562557	NA	group3	dependency	LEMMAREL	bound	396	NA	NA	1	no	FOC	396	all	4_4	NA	356	spoor
