	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
huldigen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall			BOW		nobound	568	all	5_5	1	weight			FOC	568	all	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav			BOW		nobound	568	all	5_5	1	selection			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall			BOW		nobound	568	all	5_5	1	selection			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		nobound	568	all	5_5	1	selection			FOC	210	nav	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall			BOW		nobound	568	all	5_5	1	selection			FOC	568	all	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav			BOW		nobound	815	all	5_5	1	no			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall			BOW		nobound	815	all	5_5	1	no			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav			BOW		nobound	815	all	5_5	1	no			FOC	337	nav	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall			BOW		nobound	815	all	5_5	1	no			FOC	815	all	4_4		230	huldigen
huldigen.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav			BOW		nobound	219	lex	3_3	1	weight			5000	5000	nav	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall			BOW		nobound	219	lex	3_3	1	weight			5000	5000	all	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		nobound	219	lex	3_3	1	weight			FOC	140	nav	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall			BOW		nobound	219	lex	3_3	1	weight			FOC	219	all	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav			BOW		nobound	219	lex	3_3	1	selection			5000	5000	nav	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall			BOW		nobound	219	lex	3_3	1	selection			5000	5000	all	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		nobound	219	lex	3_3	1	selection			FOC	140	nav	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall			BOW		nobound	219	lex	3_3	1	selection			FOC	219	all	4_4		206	huldigen
huldigen.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav			BOW		nobound	283	lex	3_3	1	no			5000	5000	nav	4_4		220	huldigen
huldigen.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall			BOW		nobound	283	lex	3_3	1	no			5000	5000	all	4_4		220	huldigen
huldigen.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav			BOW		nobound	283	lex	3_3	1	no			FOC	190	nav	4_4		220	huldigen
huldigen.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall			BOW		nobound	283	lex	3_3	1	no			FOC	283	all	4_4		220	huldigen
huldigen.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav			BOW		nobound	389	all	3_3	1	weight			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall			BOW		nobound	389	all	3_3	1	weight			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		nobound	389	all	3_3	1	weight			FOC	140	nav	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall			BOW		nobound	389	all	3_3	1	weight			FOC	389	all	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav			BOW		nobound	389	all	3_3	1	selection			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall			BOW		nobound	389	all	3_3	1	selection			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		nobound	389	all	3_3	1	selection			FOC	140	nav	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall			BOW		nobound	389	all	3_3	1	selection			FOC	389	all	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav			BOW		nobound	497	all	3_3	1	no			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall			BOW		nobound	497	all	3_3	1	no			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav			BOW		nobound	497	all	3_3	1	no			FOC	190	nav	4_4		230	huldigen
huldigen.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall			BOW		nobound	497	all	3_3	1	no			FOC	497	all	4_4		230	huldigen
huldigen.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	selection2		dependency		bound	348			1	weight			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	selection2		dependency		bound	348			1	weight			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	selection2		dependency		bound	348			1	weight			FOC	134	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	selection2		dependency		bound	348			1	weight			FOC	348	all	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	selection2		dependency		bound	348			1	selection			5000	5000	nav	4_4		229	huldigen
