cw	pmi_4	raw_4	pmi_10	raw_10	freq
0,8255/num			5.364338	1	3
0,84/num	2.7143219	1.0	1.8085138	1	106
0,85/num	2.7078495	2.0	1.8044763	2	214
0,8513/num			6.5142436	1	1
0,8570/num			4.160365	1	10
0,8812/num			5.364338	1	3
0,89%/num			4.936894	1	5
0,89/num	3.5119119	2.0	2.6224232	2	96
0,9/num	1.667894	5.0	0.76632667	5	1512
0,90/num	3.7673538	4.0	2.8574524	4	148
0,904/num			6.46295	1	1
0,9135/num	5.8451047	1.0	5.0160313	1	5
0,9155/num	6.123818	1.0	5.3982396	1	4
0,9160/num			5.364338	1	3
0,92/num			2.2778513	1	67
0,932/num	6.683434	1.0	5.769803	1	2
0,952/num	5.990287	2.0	5.076656	2	8
0,96/num			2.1649847	1	74
0,9725/num	6.36498	1.0	5.5074387	1	3
0,999/num			5.769803	1	2
0-1/num	-1.899787	2.0	-1.7097201	6	21461
0-100/num			1.2380103	1	187
0-2/name			-1.4118079	1	2657
0-2/num	-2.115568	1.0	-2.3301573	2	13333
0-2_achterstand/noun	2.422516	1.0	1.5124189	1	142
0-3/num			-2.5126357	1	8010
0.25-2.00u./noun			4.160365	1	10
0/noun			-0.91777307	1	1668
0/num			-3.633163	2	49075
00-12124215422/num	6.683434	1.0	5.769803	1	2
00-34-923.28.01.36/num			6.46295	1	1
00-65/336.65.55/num			6.46295	1	1
00.15/num	2.324724	2.0	1.4361136	2	323
00.50/num			1.0913824	1	223
00/num			-0.5166605	1	1118
0033-491.16.78.00/num	7.376581	1.0	6.46295	1	1
00385-20/323.689/num			6.46295	1	1
0039-11/436.65.53/num			6.46295	1	1
0039-761-924.029/num	7.376581	1.0	6.46295	1	1
0045-33.93.49.69/num			6.46295	1	1
0049-2232-36.600/num			6.46295	1	1
007_kogel/noun	7.376581	1.0	6.46295	1	1
008'_dienst/noun			6.46295	1	1
00961-9-953.841/num			6.46295	1	1
01.55/num			2.9619074	1	34
011/78.43.86/num			5.5874815	1	3
011/81.93.00/num			5.364338	1	3
013-33.40.40/num			4.371086	1	9
014-30.23.46/num			6.973776	1	1
014-30.98.82/num			5.8751636	1	2
02-427.97.92/num			5.4513493	1	3
02-511.80.05/num			6.46295	1	1
02/245.97.00/num			2.8822129	1	38
02/447.84.24/num			6.46295	1	1
02/460.06.39/num			6.057485	1	2
02/476.24.74/num			5.769803	1	2
02/569.27.74/num			6.46295	1	1
