_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
harden.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.9157607830644043	-0.24601918736205503	NA	NA	BOW	bound	204	lex	3_3	1	no	FOC	139	nav	4_4	NA	275	harden
harden.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.8560539107132065	-0.2153236918266268	NA	NA	BOW	bound	204	lex	3_3	1	no	FOC	204	all	4_4	NA	275	harden
harden.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.7903892378788884	-0.062418255585154604	NA	NA	BOW	bound	232	all	3_3	1	weight	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.0935483733344058	-0.13189441827116086	NA	NA	BOW	bound	232	all	3_3	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.9371889688402213	-0.03853712414385977	NA	NA	BOW	bound	232	all	3_3	1	weight	FOC	116	nav	4_4	NA	279	harden
harden.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.8157487027390098	-0.04877381961948767	NA	NA	BOW	bound	232	all	3_3	1	weight	FOC	232	all	4_4	NA	279	harden
harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.7756756111639459	0.01063722883332007	NA	NA	BOW	bound	232	all	3_3	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.1007153200125503	-0.05320103962896803	NA	NA	BOW	bound	232	all	3_3	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.8342885738381781	0.02118169610345351	NA	NA	BOW	bound	232	all	3_3	1	selection	FOC	116	nav	4_4	NA	279	harden
harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.7792503823203631	5.898795293514829e-4	NA	NA	BOW	bound	232	all	3_3	1	selection	FOC	232	all	4_4	NA	279	harden
harden.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.9429501422352843	0.21077547224535792	NA	NA	BOW	bound	295	all	3_3	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.4962530822809958	0.46309257864139175	NA	NA	BOW	bound	295	all	3_3	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.9206094446649357	0.14566622103909196	NA	NA	BOW	bound	295	all	3_3	1	no	FOC	139	nav	4_4	NA	279	harden
harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.8451471148418124	0.11607552415907188	NA	NA	BOW	bound	295	all	3_3	1	no	FOC	295	all	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6146800254851312	-0.4442052524210696	NA	NA	BOW	nobound	431	lex	10_10	1	weight	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6964968443395626	-0.8232821168018254	NA	NA	BOW	nobound	431	lex	10_10	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8482681114916353	-0.4170848214189344	NA	NA	BOW	nobound	431	lex	10_10	1	weight	FOC	295	nav	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7415523392893135	-0.39371574457205716	NA	NA	BOW	nobound	431	lex	10_10	1	weight	FOC	431	all	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7219154636104301	-0.4647657935593951	NA	NA	BOW	nobound	431	lex	10_10	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.9782780831057065	-1.118442712559146	NA	NA	BOW	nobound	431	lex	10_10	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.907755327313777	-0.3595436904101682	NA	NA	BOW	nobound	431	lex	10_10	1	selection	FOC	295	nav	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.7900595672685512	-0.3494258148669956	NA	NA	BOW	nobound	431	lex	10_10	1	selection	FOC	431	all	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.4145334592288412	-0.24765381485265642	NA	NA	BOW	nobound	1107	lex	10_10	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.1920849445487125	-0.7096039008724286	NA	NA	BOW	nobound	1107	lex	10_10	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.4335189469915512	-0.14066697026774763	NA	NA	BOW	nobound	1107	lex	10_10	1	no	FOC	790	nav	4_4	NA	279	harden
harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.331499261809554	-0.18636888364933002	NA	NA	BOW	nobound	1107	lex	10_10	1	no	FOC	1107	all	4_4	NA	279	harden
harden.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.5489373257250613	-0.2835927023812543	NA	NA	BOW	nobound	556	all	10_10	1	weight	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.8106106074711434	-0.7416901015435854	NA	NA	BOW	nobound	556	all	10_10	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.783988311837819	-0.2781868709769657	NA	NA	BOW	nobound	556	all	10_10	1	weight	FOC	295	nav	4_4	NA	279	harden
harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6871449883767968	-0.2578115126861171	NA	NA	BOW	nobound	556	all	10_10	1	weight	FOC	556	all	4_4	NA	279	harden
harden.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.6797001921427199	-0.12096373423553743	NA	NA	BOW	nobound	556	all	10_10	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-1.2618816297023256	-1.1251871201950752	NA	NA	BOW	nobound	556	all	10_10	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8791045028867391	-0.1837151485496959	NA	NA	BOW	nobound	556	all	10_10	1	selection	FOC	295	nav	4_4	NA	279	harden
harden.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.8179891690964206	-0.17870959217575955	NA	NA	BOW	nobound	556	all	10_10	1	selection	FOC	556	all	4_4	NA	279	harden
harden.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.4696779391204127	0.4705284206149849	NA	NA	BOW	nobound	1444	all	10_10	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-2.4086146052922808	1.641305871839178	NA	NA	BOW	nobound	1444	all	10_10	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.4431800434852016	0.2589521641128651	NA	NA	BOW	nobound	1444	all	10_10	1	no	FOC	790	nav	4_4	NA	279	harden
harden.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-1.4701044025383225	0.22191177413903623	NA	NA	BOW	nobound	1444	all	10_10	1	no	FOC	1444	all	4_4	NA	279	harden
harden.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.13711628966443776	-0.5032143776837994	NA	NA	BOW	nobound	349	lex	5_5	1	weight	5000	5000	nav	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1743699675636921	-0.8894922050428362	NA	NA	BOW	nobound	349	lex	5_5	1	weight	5000	5000	all	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3253894968425073	-0.5337042245804574	NA	NA	BOW	nobound	349	lex	5_5	1	weight	FOC	237	nav	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.21994949280425674	-0.4819901509376319	NA	NA	BOW	nobound	349	lex	5_5	1	weight	FOC	349	all	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.06834090731536334	-0.5444439249224762	NA	NA	BOW	nobound	349	lex	5_5	1	selection	5000	5000	nav	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.17084160750646177	-1.1304574279389243	NA	NA	BOW	nobound	349	lex	5_5	1	selection	5000	5000	all	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.28388809015975	-0.5239439636302998	NA	NA	BOW	nobound	349	lex	5_5	1	selection	FOC	237	nav	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15051169995370642	-0.4739635363957594	NA	NA	BOW	nobound	349	lex	5_5	1	selection	FOC	349	all	4_4	NA	278	harden
harden.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.20813950492430594	-0.7027562793703261	NA	NA	BOW	nobound	515	lex	5_5	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.4139851447766563	-1.446537236933566	NA	NA	BOW	nobound	515	lex	5_5	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.4719204247376748	-0.6213589383291187	NA	NA	BOW	nobound	515	lex	5_5	1	no	FOC	362	nav	4_4	NA	279	harden
harden.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.289723713676103	-0.5907221150429302	NA	NA	BOW	nobound	515	lex	5_5	1	no	FOC	515	all	4_4	NA	279	harden
