_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.8130996248865688	-0.39053056604653713	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	all	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.3964042681082795	-0.061973346283084825	NA	NA	bound	202	lex	3_3	1	weight	FOC	136	nav	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.3913673085699636	-0.07149425052996693	NA	NA	bound	202	lex	3_3	1	weight	FOC	202	all	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.5245234832348784	-0.15554536559884766	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	nav	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.8247344797390628	-0.42189121875931423	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	all	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.39529311320769495	-0.08169193406958425	NA	NA	bound	202	lex	3_3	1	selection	FOC	136	nav	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.38314637247055183	-0.08436290121083521	NA	NA	bound	202	lex	3_3	1	selection	FOC	202	all	4_4	204	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.7679469702264917	-0.21592757328950657	NA	NA	bound	280	lex	3_3	1	no	5000	5000	nav	4_4	213	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	1.1139815087340672	-0.4967495539061001	NA	NA	bound	280	lex	3_3	1	no	5000	5000	all	4_4	213	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.6046714575470529	-0.14043131991862293	NA	NA	bound	280	lex	3_3	1	no	FOC	195	nav	4_4	213	heffen	NA	NA	BOW
heffen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.5843146483158457	-0.14209987903799884	NA	NA	bound	280	lex	3_3	1	no	FOC	280	all	4_4	213	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.6550862701833698	0.048558764709415454	NA	NA	bound	261	all	3_3	1	weight	5000	5000	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.0564840454593358	-0.16807014106002166	NA	NA	bound	261	all	3_3	1	weight	5000	5000	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.5579489196381516	0.03256014817120377	NA	NA	bound	261	all	3_3	1	weight	FOC	136	nav	4_4	216	heffen	NA	NA	BOW
