type	token_id	sense	confidence	annotator	annotations	annotators	agree_nr	agree_fct	left	target	right	comment	geen_reason	my_comment	comment_2	sense_2
spoor	spoor/noun/nrc_handelsblad_20020415_116/1032	spoor_2	2	3_1	2	3	0.67	majority	. Volgens De Schutter moest Barrez Van Noppen alleen intimideren . Via hen leidde het	spoor	naar veehandelaar Germain Daenen en uiteindelijk naar Vercauteren , die beiden ontkennen . Flor van	Ik twijfel met betekenis 1.4	between	2;4	NA	spoor_2
gemeen	gemeen/adj/het_laatste_nieuws_20021023_01_260/38	gemeen_3	1	14_4	3	4	0.25	minority	. Verderop de Noordzee is enige tijd storm , windkracht 9 bereikbaar . Voorts kunnen	gemene	windstoten optreden . De richting is westelijk . Van die kant uit wordt lucht aangevoerd	ik twijfel tussen 'gewoon' en 'boosaardig'	between	3;4	NA	gemeen_3
grijs	grijs/adj/volkskrant_19990212_1872/30	geen	2	11_2	2	3	0.33	minority	een zelfbewuste blik - en het laatste , uit zijn zestigste levensjaar - dat een	grijze	NA	Door gebrek aan context twijfel ik tussen 3 en 4, het slaat ofwel op iemands grijs haar, ofwel op iemands leeftijd	between	3;4	NA	between
heet	heet/adj/de_standaard_19990522_01_117/1501	heet_3	3	18_2	2	3	0.67	majority	Sergeant's Peppers ' van The Beatles en Beggar's Banquet van The Rolling Stones kondigen een	hete	zomer van love and peace aan . En dan komt George Best . 29 mei	Figuurlijk; misschien ook de vijfde definitie	between	3;5	NA	heet_3
gemeen	gemeen/adj/nrc_handelsblad_20011027_152/139	geen	0	5_2	3	3	0.33	none	kaartspel komt . Je herkent de boer , knecht , jack , valet aan zijn	gemene	kop , de vrouw , dame , koningin aan haar liefelijk gelaat en de heer	Twijfel tussen 4 en 5	between	4;5	NA	between
gemeen	gemeen/adj/parool_20020323_85/780	gemeen_4	2	18_2	2	3	0.67	majority	Dagelijks een half uurtje na Barend & Van Dorp . Snel , keihard , echt	gemeen	, lachen en een muziekje . Met Wim Kok over zijn bruine Ford praten .	Twijfel tussen vierde en vijfde definitie	between	4;5	NA	gemeen_4
spoor	spoor/noun/het_nieuwsblad_20000315_01_581/298	spoor_4	2	18_2	2	3	0.67	majority	van de Cipressa moet hij zich ver van alle gewoel houden . Rustig in het	spoor	van een ploegmaat . En wachten , wachten . Het krachtenarsenaal zo lang mogelijk intact	Duidelijk figuurlijke betekenis, maar niet zeker welke definitie daarbij past (misschien ook 2.1?)	between	4;5	NA	spoor_4
gemeen	gemeen/adj/parool_20030827_25/116	geen	2	2_2	2	3	0.67	majority	gelukkig - niet hebt kunnen inhouden . Ik hoorde bij geruchte dat je menigeen '	gemeen	' hebt neergezet . Dat is mooi . Al was het alleen al omdat ik	niet genoeg context: ik twijfel tussen ordinair, plat, onkies, vulgair en boosaardig, kwaadaardig...	between	4;5	NA	between
gemeen	gemeen/adj/volkskrant_20010512_5/3095	gemeen_5	2	4_2	3	3	0.33	none	: er zit bij mij altijd een filter voor . Er flitsen honderdduizend ook wel	gemene	dingen door m'n hoofd , maar hoe snel ik ook ben , wat ik wil	kan ook 'boosaardig' zijn, niet genoeg context	between	4;5	NA	gemeen_5
grijs	grijs/adj/nrc_handelsblad_20020930_52/8	geen	2	6_2	2	3	0.33	minority	In één klap is het gedaan met	grijze	imago van John Major , de voormalige Britse premier die het nooit tot regeringsleider zou	"Ik twijfel tussen ""grijsharig"" en ""niet helemaal volgens de wet of de regels""."	between	4;6	NA	between
