batch	username	annotator	code
dof_8	marthe.greubel	ann_2	5_2
grijs_6	marthe.greubel	ann_2	5_2
haten_4	marthe.greubel	ann_2	5_2
harden_6	marthe.greubel	ann_2	5_2
spoor_3	marthe.greubel	ann_2	5_2
staal_7	marthe.greubel	ann_2	5_2
gemeen_1	marthe.greubel	ann_2	5_2
hoekig_2	marthe.greubel	ann_2	5_2
hoop_3	marthe.greubel	ann_2	5_2
hoopvol_1	marthe.greubel	ann_2	5_2
herstellen_1	jana.put1	ann_3	5_3
herstructureren_1	jana.put1	ann_3	5_3
dof_8	jana.put1	ann_3	5_3
grijs_6	jana.put1	ann_3	5_3
haten_4	jana.put1	ann_3	5_3
harden_6	jana.put1	ann_3	5_3
spoor_3	jana.put1	ann_3	5_3
staal_7	jana.put1	ann_3	5_3
gemeen_1	jana.put1	ann_3	5_3
hoekig_2	jana.put1	ann_3	5_3
hoop_3	jana.put1	ann_3	5_3
hoopvol_1	jana.put1	ann_3	5_3
geestig_1	marthe.greubel	ann_2	15_2
heilzaam_4	marthe.greubel	ann_2	15_2
goedkoop_8	marthe.greubel	ann_2	15_2
hoopvol_5	marthe.greubel	ann_2	15_2
heffen_2	marthe.greubel	ann_2	15_2
helpen_5	marthe.greubel	ann_2	15_2
huldigen_5	marthe.greubel	ann_2	15_2
spot_6	marthe.greubel	ann_2	15_2
herkennen_6	marthe.greubel	ann_2	15_2
staal_2	marthe.greubel	ann_2	15_2
blik_4	marthe.greubel	ann_2	15_2
heet_5	marthe.greubel	ann_2	15_2
geestig_1	jana.put1	ann_3	15_3
heilzaam_4	jana.put1	ann_3	15_3
goedkoop_8	jana.put1	ann_3	15_3
hoopvol_5	jana.put1	ann_3	15_3
heffen_2	jana.put1	ann_3	15_3
helpen_5	jana.put1	ann_3	15_3
huldigen_5	jana.put1	ann_3	15_3
spot_6	jana.put1	ann_3	15_3
herkennen_6	jana.put1	ann_3	15_3
staal_2	jana.put1	ann_3	15_3
blik_4	jana.put1	ann_3	15_3
heet_5	jana.put1	ann_3	15_3
